2185-09-11
USCSS Nostromo;Cargo;7;InCryosleep;20000;2122-06-29
USS Sulaco;Military;12;MissingInAction;5000;2179-06-12
USCSS Prometheus;Research;17;Deceased;8000;2093-12-25
Covenant;Colonial;2000;InCryosleep;15000;2104-02-15
USCSS Torrens;Cargo;3;Active;18000000;2183-10-20
Anesidora;Mining;5;Deceased;25000000;2137-01-11
DSMO Marion;Research;8;MissingInAction;3000;2122-05-28
USS Legato;Military;150;Active;2000;2179-07-01
USCSS Patna;Cargo;6;InCryosleep;22000000;2122-04-10
Onager;Mining;12;Active;30000000;2184-08-15
Geryon;Research;14;Deceased;6000;2093-12-21
Narcissus;Rescue;1;Active;500;2122-06-04
USCSS Sephora;Colonial;300;MissingInAction;10000;2179-06-20
Seegson;Mining;18;InCryosleep;28000000;2183-12-05
Gaspar;Research;20;Deceased;7000;2183-12-19
Conestoga;Colonial;158;InCryosleep;9000;2157-03-22
USCSS Corbelan;Rescue;4;Active;1000;2137-12-15
